Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Rank,Team_2_Rank
Penguins,Rangers,5,2,
Kraken,Sharks,4,2,
Avalanche,Blue Jackets,1,4
Islanders,Flyers,4,3
